level,numerical,Total,Building
FC1,35,155520.0,War Academy
FC1-1,36,155520.0,War Academy
FC1-2,37,155520.0,War Academy
FC1-3,38,155520.0,War Academy
FC1-4,39,155520.0,War Academy
FC2,40,155520.0,War Academy
FC2-1,41,190080.0,War Academy
FC2-2,42,190080.0,War Academy
FC2-3,43,190080.0,War Academy
FC2-4,44,190080.0,War Academy
FC3,45,190080.0,War Academy
FC3-1,46,207360.0,War Academy
FC3-2,47,207360.0,War Academy
FC3-3,48,207360.0,War Academy
FC3-4,49,207360.0,War Academy
FC4,50,207360.0,War Academy
FC4-1,51,241920.0,War Academy
FC4-2,52,241920.0,War Academy
FC4-3,53,241920.0,War Academy
FC4-4,54,241920.0,War Academy
FC5,55,241920.0,War Academy
FC5-1,56,259200.0,War Academy
FC5-2,57,259200.0,War Academy
FC5-3,58,259200.0,War Academy
FC5-4,59,259200.0,War Academy
FC6,60,259200.0,War Academy
FC6-1,61,311040.0,War Academy
FC6-2,62,311040.0,War Academy
FC6-3,63,311040.0,War Academy
FC6-4,64,311040.0,War Academy
FC7,65,311040.0,War Academy
FC7-1,66,345600.0,War Academy
FC7-2,67,345600.0,War Academy
FC7-3,68,345600.0,War Academy
FC7-4,69,345600.0,War Academy
FC8,70,345600.0,War Academy
FC8-1,71,224640.0,War Academy
FC8-2,72,224640.0,War Academy
FC8-3,73,224640.0,War Academy
FC8-4,74,224640.0,War Academy
FC9,75,224640.0,War Academy
FC9-1,76,345600.0,War Academy
FC9-2,77,345600.0,War Academy
FC9-3,78,345600.0,War Academy
FC9-4,79,345600.0,War Academy
FC10,80,345600.0,War Academy
1,1,2.0,Marksman Camp
2,2,9.0,Marksman Camp
3,3,45.0,Marksman Camp
4,4,135.0,Marksman Camp
5,5,270.0,Marksman Camp
6,6,540.0,Marksman Camp
7,7,1080.0,Marksman Camp
8,8,1620.0,Marksman Camp
9,9,2430.0,Marksman Camp
10,10,3240.0,Marksman Camp
11,11,4050.0,Marksman Camp
12,12,4860.0,Marksman Camp
13,13,5940.0,Marksman Camp
14,14,7560.0,Marksman Camp
15,15,9720.0,Marksman Camp
16,16,16440.0,Marksman Camp
17,17,19740.0,Marksman Camp
18,18,23700.0,Marksman Camp
19,19,35550.0,Marksman Camp
20,20,44430.0,Marksman Camp
21,21,57750.0,Marksman Camp
22,22,86640.0,Marksman Camp
23,23,121320.0,Marksman Camp
24,24,169860.0,Marksman Camp
25,25,237780.0,Marksman Camp
26,26,273420.0,Marksman Camp
27,27,328140.0,Marksman Camp
28,28,377340.0,Marksman Camp
29,29,433980.0,Marksman Camp
30,30,520800.0,Marksman Camp
30-1,31,90720.0,Marksman Camp
30-2,32,90720.0,Marksman Camp
30-3,33,90720.0,Marksman Camp
30-4,34,90720.0,Marksman Camp
FC1,35,90720.0,Marksman Camp
FC1-1,36,116640.0,Marksman Camp
FC1-2,37,116640.0,Marksman Camp
FC1-3,38,116640.0,Marksman Camp
FC1-4,39,116640.0,Marksman Camp
FC2,40,116640.0,Marksman Camp
FC2-1,41,142560.0,Marksman Camp
FC2-2,42,142560.0,Marksman Camp
FC2-3,43,142560.0,Marksman Camp
FC2-4,44,142560.0,Marksman Camp
FC3,45,142560.0,Marksman Camp
FC3-1,46,155520.0,Marksman Camp
FC3-2,47,155520.0,Marksman Camp
FC3-3,48,155520.0,Marksman Camp
FC3-4,49,155520.0,Marksman Camp
