furnacelevel	numerical 
1 	1
 2 	2
 3 	3
 4 	4
 5 	5
 6 	6
 7 	7
 8 	8
 9 	9
 10 	10
 11 	11
 12 	12
 13 	13
 14 	14
 15 	15
 16 	16
 17 	17
 18 	18
 19 	19
 20 	20
 21 	21
 22 	22
 23 	23
 24 	24
 25 	25
 26 	26
 27 	27
 28 	28
 29 	29
 30 	30
 30-1 	31
 30-2 	32
 30-3 	33
 30-4 	34
 FC1 	35
 FC1-1 	36
 FC1-2 	37
 FC1-3 	38
 FC1-4 	39
 FC2 	40
 FC2-1 	41
 FC2-2 	42
 FC2-3 	43
 FC2-4 	44
 FC3 	45
 FC3-1 	46
 FC3-2 	47
 FC3-3 	48
 FC3-4 	49
 FC4 	50
 FC4-1 	51
 FC4-2 	52
 FC4-3 	53
 FC4-4 	54
 FC5 	55
 FC5-1 	56
 FC5-2 	57
 FC5-3 	58
 FC5-4 	59
 FC6 	60
 FC6-1 	61
 FC6-2 	62
 FC6-3 	63
 FC6-4 	64
 FC7 	65
 FC7-1 	66
 FC7-2 	67
 FC7-3 	68
 FC7-4 	69
 FC8 	70
 FC8-1 	71
 FC8-2 	72
 FC8-3 	73
 FC8-4 	74
 FC9 	75
 FC9-1 	76
 FC9-2 	77
 FC9-3 	78
 FC9-4 	79
 FC10 	80
